id_dep;nome;partido;UF;tema_10;tema_11;tema_12;tema_13;tema_14;tema_15;tema_16;tema_17;tema_18;tema_19;tema_1;tema_2;tema_3;tema_4;tema_5;tema_6;tema_7;tema_8;tema_9
160666;"FélixMendonçaJúnior";pdt;BA;não;sim;sim;sim;não;não;sim;não;sim;sim;sim;sim;sim;sim;não;não;não;não;sim
160598;"FláviaMorais";pdt;GO;não;sim;sim;sim;não;não;não votou;não votou;sim;não votou;não votou;não votou;sim;sim;não;não;não;não;sim
191923;"FlavioNogueira";pdt;PI;não votou;não votou;não votou;não votou;não votou;não voto;não votou;não votou;não votou;não votou;sim;não votou;não votou;não votou;não votou;6 não votou;7 não votou;não votou;não votou
160673;"GiovaniCherini";pdt;RS;não;sim;sim;sim;não;não;sim;não;sim;sim;sim;não;sim;sim;não;não;não votou;não;sim
178826;"MajorOlimpio";pdt;SP;não;não;sim;abstenção;não votou;não;sim;não;sim;sim;sim;sim;não;sim;sim;sim;não;não;sim
76287;"MarceloMatos";pdt;RJ;não;não;sim;sim;não;não;sim;não;sim;sim;não;não;sim;sim;abstção;sim;não;não;não
167722;"MarcosRogério";pdt;RO;abstenção;sim;sim;abstenção;não;não;sim;sim;sim;não;não;não votou;não votou;sim;sim;sim;não;não;não
74158;"MárioHeringer";pdt;MG;não votou;sim;não votou;sim;não;não;sim;não;sim;sim;sim;não votou;sim;sim;não;não;não votou;não votou;sim
73486;"PompeodeMattos";pdt;RS;não;sim;sim;sim;não;não;sim;não;sim;não;sim;não votou;sim;sim;não;não;não;não;não votou
178995;"RobertoGóes";pdt;AP;não;não;não;sim;não;não;sim;não;sim;sim;não;não;sim;sim;não;não;sim;não;sim
178845;"RonaldoLessa";pdt;AL;não;não;não votou;sim;não;não;sim;sim;sim;sim;não;não;sim;abstção;não;não;não votou;não votou;não votou
191684;"RosângelaCurado";pdt;MA;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou
;sim;não;não votou;não votou;não votou;não votou;7 não votou;não votou;não votou
178874;"SergioVidigal";pdt;ES;não;não;sim;sim;não;não;abstenção;abstenção;sim;abstenção;sim;não votou;sim;sim;não;não;não;não;sim
177282;"SubtenenteGonzaga";pdt;MG;não;não votou;sim;sim;não;não;sim;não;sim;sim;não;não;sim;sim;não;sim;não;não;não
167493;"WevertonRocha";pdt;MA;não;não;sim;sim;não;não;sim;não;sim;sim;não votou;não votou;sim;sim;não;não;não;não;sim
74439;"WolneyQueiroz";pdt;PE;não;não;sim;não votou;não;não;não;não;sim;sim;não;não votou;sim;sim;não;não;não;não;não
178882;"AndréFufuca";pen;MA;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;não;sim;sim;sim;sim;sim;sim;sim
178885;"JuniorMarreca";pen;MA;sim;não votou;não votou;não votou;não;não votou;sim;sim;não votou;sim;sim;não votou;sim;não;sim;sim;sim;sim;sim
178864;"AdailCarneiro";phs;CE;sim;sim;sim;não;sim;não;sim;não;sim;não;sim;sim;sim;sim;não;não;sim;sim;sim
178958;"CarlosAndrade";phs;RR;sim;sim;não votou;não;sim;não;sim;não;não votou;não;não votou;sim;sim;não votou;sim;sim;sim;sim;sim
178929;"DiegoGarcia";phs;PR;sim;sim;sim;não;sim;não;sim;não;sim;não;não votou;sim;sim;sim;não;não;sim;não;não
178918;"KaioManiçoba";phs;PE;sim;sim;sim;não;não votou;não;sim;não;sim;não;sim;sim;sim;sim;não;sim;sim;sim;sim
146788;"MarceloAro";phs;MG;sim;não votou;sim;não;sim;não;sim;não;sim;não;não votou;não votou;sim;sim;sim;sim;sim;sim;sim
160582;"AlbertoFilho";pmdb;MA;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não votou
160559;"AlceuMoreira";pmdb;RS;não;sim;sim;sim;sim;não;sim;não;sim;sim;sim;não;sim;sim;sim;sim;sim;sim;sim
74212;"AníbalGomes";pmdb;CE;sim;não votou;sim;não;sim;sim;não votou;não votou;sim;não votou;sim;não votou;sim;sim;sim;sim;sim;sim;não votou
178975;"BaleiaRossi";pmdb;SP;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;sim;sim;sim;não votou;sim;sim;sim;não;sim
105112;"CabuçuBorges";pmdb;AP;sim;sim;sim;não votou;sim;sim;sim;sim;não votou;sim;sim;não votou;sim;sim;não votou;sim;sim;sim;sim
141401;"CarlosBezerra";pmdb;MT;não;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;sim;sim;não votou;não;não;sim;sim;não votou
178993;"CarlosHenriqueGaguim";pmdb;TO;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;não;sim;sim;sim;sim;sim;sim;sim
178900;"CarlosMarun";pmdb;MS;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;não votou;não;sim;sim;sim;sim;sim;sim;sim
73568;"CelsoJacob";pmdb;RJ;sim;sim;sim;sim;sim;sim;não votou;não votou;sim;não votou;sim;sim;sim;sim;sim;sim;sim;sim;sim
141405;"CelsoMaldaner";pmdb;SC;não;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não votou;sim;sim;não;sim;sim;sim;sim
72912;"CelsoPansera";pmdb;RJ;sim;não votou;não;sim;sim;sim;não;sim;nao votou;sim;não votou;não votou;sim;não votou;não;não;sim;sim;sim
144523;"DanielVilela";pmdb;GO;sim;sim;sim;não;sim;sim;sim;sim;sim;sim;não;não votou;sim;sim;sim;sim;sim;não;sim
62881;"DaniloForte";pmdb;CE;sim;sim;sim;não;sim;não;sim;não;sim;sim;não votou;não votou;não;sim;sim;sim;sim;sim;sim
73891;"DarcísioPerondi";pmdb;RS;não;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;não;sim;não;não;não;sim;sim;sim
178994;"DulceMiranda";pmdb;TO;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;sim
73447;"EdinhoAraújo";pmdb;SP;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não;não votou;não votou;não votou;não votou;6 não votou;7 não votou;não votou;não votou
73793;"EdinhoBez";pmdb;SC;sim;sim;sim;não;abstenção;sim;sim;sim;sim;não votou;sim;não;sim;sim;sim;sim;sim;abstção;sim
141417;"EdioLopes";pmdb;RR;sim;sim;sim;não;sim;sim;sim;não;sim;sim;sim;não votou;sim;sim;sim;sim;sim;sim;sim
