deputado,partido,estado,voto
Pompeo de Mattos,PDT,RS,ABST
Vinicius Gurgel,PR,AP,ABST
Beto Salame,PP,PA,ABST
Gorete Pereira,PR,CE,ABST
Cacá Leão,PP,BA,ABST
Mário Negromonte Jr.,PP,BA,ABST
Sebastião Oliveira,PR,PE,ABST
