"nome";"id_dept";"partido";"UF";"votacao_PL_10903"
Mariana Carvalho;178956;PSDB ;RO;Sim
Adilton Sachetti;178903;PSB;MT;Sim
Conceição Sampaio;178848;PP ;AM;Sim
Carmen Zanotto;164360;PPS;SC;Sim
Vinicius Carvalho;141555;PRB;SP;Sim
Josué Bengtson;74351;PTB;PA;Sim
Pedro Fernandes;74449;PTB;MA;Sim
Rodrigo Martins;178926;PSB;PI;Sim
Beto Salame;178906;PROS ;PA;Sim
Carlos Manato;74163;Solidaried;ES;Sim
Vitor Valim;178869;PMDB ;CE;Sim
Silvio Costa;4930;PSC;PE;Sim
Zé Carlos;178889;PT ;MA;Sim
Hiran Gonçalves;178959;PMN;RR;Sim
Afonso Hamm;136811;PP ;RS;Sim
Valtenir Pereira;141552;PROS ;MT;Sim
Evandro Gussi;178828;PV ;SP;Sim
André Abdon;178831;PRB;AP;Sim
Dilceu Sperafico;73768;PP ;PR;Sim
Chico Alencar;74171;PSOL ;RJ;Sim
Bohn Gass;160538;PT ;RS;Sim
Clarissa Garotinho;178939;PR ;RJ;Sim
Marcelo Castro;74460;PMDB ;PI;Sim
Arnon Bezerra;74291;PTB;CE;Sim
Bruna Furlan;160589;PSDB ;SP;Sim
Elmar Nascimento;178854;DEM;BA;Não
Moses Rodrigues;178997;PPS;CE;Sim
Ivan Valente;73531;PSOL ;SP;Sim
Jorginho Mello;160509;PR ;SC;Sim
Diego Garcia;178929;PHS;PR;Sim
Damião Feliciano;74467;PDT;PB;Sim
Fernando Coelho Filho;141431;PSB;PE;Sim
Claudio Cajado;74537;DEM;BA;Não
Wadih Damous;189593;PT ;RJ;Sim
Celso Jacob;73568;PMDB ;RJ;Sim
Flávia Morais;160598;PDT;GO;Sim
Ana Perugini;178973;PT ;SP;Sim
Padre João;160556;PT ;MG;Sim
Missionário José Olimpio;160561;PP ;SP;Sim
Laerte Bessa;141478;PR ;DF;Sim
Leônidas Cristino;74299;PROS ;CE;Sim
José Rocha;74554;PR ;BA;Sim
Celso Russomanno;73441;PRB;SP;Sim
Carlos Bezerra;141401;PMDB ;MT;Sim
Toninho Pinheiro;160611;PP ;MG;Sim
Marcon;160535;PT ;RS;Sim
José Otávio Germano;74395;PP ;RS;Não
Assis do Couto;74378;PT ;PR;Sim
Pastor Eurico;160642;PSB;PE;Sim
Professor Victório Galli;148134;PSC;MT;Sim
Iracema Portella;67138;PP ;PI;Sim
Danilo Forte;62881;PMDB ;CE;Sim
Zenaide Maia;178949;PR ;RN;Sim
Jony Marcos;178971;PRB;SE;Sim
Glauber Braga;152605;PSB;RJ;Sim
Dagoberto;141411;PDT;MS;Sim
Givaldo Carimbão;74558;PROS ;AL;Sim
Silas Câmara;74356;PSD;AM;Sim
Leonardo Monteiro;74156;PT ;MG;Sim
Major Olimpio;178826;PDT;SP;Não
Valdir Colatto;74010;PMDB ;SC;Sim
Luiz Nishimori;162332;PR ;PR;Sim
Celso Maldaner;141405;PMDB ;SC;Sim
Toninho Wandscheer;178934;PT ;PR;Sim
Valmir Assunção;160610;PT ;BA;Sim
Walter Alves;178952;PMDB ;RN;Sim
Anderson Ferreira;160551;PR ;PE;Sim
Zeca do Pt;178902;PT ;MS;Sim
Tadeu Alencar;178922;PSB;PE;Sim
Marcos Rotta;178850;PMDB ;AM;Sim
Capitão Augusto;178829;PR ;SP;Sim
Luiz Cláudio;178955;PR ;RO;Sim
Ronaldo Martins;122466;PRB;CE;Sim
Margarida Salomão;171619;PT ;MG;Sim
Félix Mendonça Júnior;160666;PDT;BA;Sim
Irajá Abreu;81232;PSD;TO;Sim
