nome;cod_dept;partido;UF;votacao_PL_124
João Fernando Coutinho;178917;PSB;PE;Sim
Rodrigo Pacheco;178897;PMDB;MG;Sim
Célio Silveira;178876;PSDB;GO;Sim
Antônio Jácome;178950;PMN;RN;Sim
Eduardo Barbosa;74655;PSDB;MG;Sim
Jorge Tadeu Mudalen;73535;DEM;SP;Sim
Alex Manente;178972;PPS;SP;Sim
Paulo Magalhães;74574;PSD;BA;Sim
Ricardo Teobaldo;178920;PTB;PE;Sim
Marcelo Squassoni;118594;PRB;SP;Sim
Marcelo Aro;146788;PHS;MG;Sim
Luiz Carlos Busato;141485;PTB;RS;Sim
Adail Carneiro;178864;PHS;CE;Sim
Edmilson Rodrigues;134812;PSOL;PA;Sim
Macedo;178867;PSL;CE;Sim
Baleia Rossi;178975;PMDB;SP;Sim
Roberto Britto;141529;PP ;BA;Sim
Luiz Fernando Faria;141487;PP ;MG;Sim
Gabriel Guimarães;129037;PT ;MG;Sim
João Arruda;160573;PMDB;PR;Sim
Bebeto;178834;PSB;BA;Sim
Mauro Lopes;74749;PMDB;MG;Sim
Paulo Abi-Ackel;141516;PSDB;MG;Sim
Afonso Motta;178835;PDT;RS;Sim
Jorge Côrte Real;160572;PTB;PE;Sim
Carlos Henrique Gaguim;178993;PMDB;TO;Sim
Dr. Sinval Malheiros;178830;PV ;SP;Sim
Mariana Carvalho;178956;PSDB;RO;Sim
Zeca Cavalcanti;178923;PTB;PE;Sim
Pompeo de Mattos;73486;PDT;RS;Sim
Adilton Sachetti;178903;PSB;MT;Sim
Conceição Sampaio;178848;PP ;AM;Sim
Carmen Zanotto;164360;PPS;SC;Sim
Pedro Fernandes;74449;PTB;MA;Sim
Marco Maia;133373;PT ;RS;Sim
Paulo Teixeira;141488;PT ;SP;Sim
Rodrigo Martins;178926;PSB;PI;Sim
Heuler Cruvinel;160596;PSD;GO;Sim
Carlos Manato;74163;Solidaried;ES;Sim
Vitor Valim;178869;PMDB;CE;Sim
Silvio Costa;4930;PSC;PE;Sim
Mandetta;160633;DEM;MS;Sim
Zé Carlos;178889;PT ;MA;Sim
Valtenir Pereira;141552;PROS;MT;Sim
Evandro Gussi;178828;PV ;SP;Sim
André Abdon;178831;PRB;AP;Sim
Dilceu Sperafico;73768;PP ;PR;Sim
Domingos Neto;143632;PROS;CE;Sim
Chico Alencar;74171;PSOL;RJ;Sim
Bohn Gass;160538;PT ;RS;Sim
Hildo Rocha;178884;PMDB;MA;Sim
Clarissa Garotinho;178939;PR ;RJ;Sim
Marcelo Castro;74460;PMDB;PI;Sim
Moema Gramacho;178859;PT ;BA;Sim
Arnon Bezerra;74291;PTB;CE;Sim
Elmar Nascimento;178854;DEM;BA;Sim
Moses Rodrigues;178997;PPS;CE;Sim
Ivan Valente;73531;PSOL;SP;Sim
Diego Garcia;178929;PHS;PR;Sim
Damião Feliciano;74467;PDT;PB;Sim
Takayama;74385;PSC;PR;Sim
Nilson Leitão;166401;PSDB;MT;Sim
Leandre;178832;PV ;PR;Sim
Eros Biondini;160640;PTB;MG;Sim
Claudio Cajado;74537;DEM;BA;Sim
Celso Jacob;73568;PMDB;RJ;Sim
Flávia Morais;160598;PDT;GO;Sim
Ana Perugini;178973;PT ;SP;Sim
Missionário José Olimpio;160561;PP ;SP;Sim
Pedro Vilela;178844;PSDB;AL;Sim
