"partido";"orientacao_PL1410"
PmdbPpPtbDem;Obstrução
PsdbPsbPpsPv;Obstrução
PT;Obstrução
PSD;Obstrução
PR;Obstrução
PDT;Obstrução
PCdoB;Obstrução
PROS;Obstrução
PSOL;Não      
Minoria;Liberado 
