"nome";"cod_dept";"partido";"UF";"votacao_PL_1410"
Capitão Fábio Abreu;178924;PTB;PI;Sim
Hélio Leite;178909;DEM;PA;Abstenção
Wolney Queiroz;74439;PDT;PE;Não
Roberto Góes;178995;PDT;AP;Obstrução
Esperidião Amin;160649;PP ;SC;Sim
Delegado Edson Moreira;178893;PTN;MG;Não
Raquel Muniz;178998;PSC;MG;Não
Jose Stédile;160607;PSB;RS;Obstrução
Flavinho;178978;PSB;SP;Não
Vicentinho;74283;PT ;SP;Não
Edmar Arruda;160578;PSC;PR;Não
Luiz Carlos Ramos;178802;PSDC;RJ;Não
Eduardo Cunha;74173;PMDB;RJ;Art. 17
Angelim;178837;PT ;AC;Não
Expedito Netto;178953;Solidaried;RO;Sim
Ságuas Moraes;160630;PT ;MT;Obstrução
Aluisio Mendes;178881;PSDC;MA;Não
Cabuçu Borges;105112;PMDB;AP;Obstrução
Ronaldo Lessa;178845;PDT;AL;Não
Marcelo Belinati;178932;PP ;PR;Não
Carlos Eduardo Cadoca;74474;PCdoB ;PE;Não
Augusto Coutinho;160665;Solidaried;PE;Obstrução
Carlos Marun;178900;PMDB;MS;Não
Roberto Balestra;73674;PP ;GO;Sim
Edmilson Rodrigues;134812;PSOL;PA;Não
Baleia Rossi;178975;PMDB;SP;Não
Adilton Sachetti;178903;PSB;MT;Obstrução
Carmen Zanotto;164360;PPS;SC;Não
Zé Carlos;178889;PT ;MA;Não
Valtenir Pereira;141552;PROS;MT;Obstrução
Chico Alencar;74171;PSOL;RJ;Não
Hildo Rocha;178884;PMDB;MA;Obstrução
Marcelo Castro;74460;PMDB;PI;Não
Ivan Valente;73531;PSOL;SP;Não
Pedro Vilela;178844;PSDB;AL;Obstrução
Arolde de Oliveira;74833;PSD;RJ;Obstrução
Pastor Eurico;160642;PSB;PE;Sim
Weverton Rocha;167493;PDT;MA;Obstrução
Tadeu Alencar;178922;PSB;PE;Não
Marcos Rotta;178850;PMDB;AM;Obstrução
Augusto Carvalho;73655;Solidaried;DF;Sim
Arthur Virgílio Bisneto;178847;PSDB;AM;Obstrução
Fabio Garcia;178905;PSB;MT;Obstrução
Jaime Martins;74665;PSD;MG;Não
Alberto Fraga;73579;DEM;DF;Sim
José Mentor;74275;PT ;SP;Obstrução
Wadson Ribeiro;137853;PCdoB ;MG;Não
Professora Dorinha Seabra Rezende;160639;DEM;TO;Obstrução
Miro Teixeira;74862;PROS;RJ;Não
Pedro Chaves;74812;PMDB;GO;Não
Júlio Cesar;74317;PSD;PI;Obstrução
César Messias;178838;PSB;AC;Não
Moroni Torgan;74457;DEM;CE;Sim
Ronaldo Nogueira;163321;PTB;RS;Obstrução
Lucas Vergilio;178879;Solidaried;GO;Sim
Hissa Abrahão;178849;PPS;AM;Não
Tereza Cristina;178901;PSB;MS;Não
Ezequiel Fonseca;178904;PP ;MT;Sim
Wilson Filho;160636;PTB;PB;Obstrução
Cabo Daciolo;178938;PSOL;RJ;Não
André Fufuca;178882;PEN;MA;Não
Renata Abreu;178989;PTN;SP;Sim
Marx Beltrão;178843;PMDB;AL;Obstrução
