"nome";"cod_dept";"partido";"UF";"votacao_PL_1219"
Zeca Dirceu;160592;PT ;PR;Não
Saraiva Felipe;74762;PMDB;MG;Não
Guilherme Mussi;160667;PP ;SP;Não
Ronaldo Lessa;178845;PDT;AL;Não
Marcelo Belinati;178932;PP ;PR;Sim
Altineu Côrtes;178937;PR ;RJ;Não
Sandes Júnior;74372;PP ;GO;Não
Silas Freire;187008;PR ;PI;Não
Roberto Freire;73805;PPS;SP;Sim
Mainha;151965;Solidaried;PI;Sim
Fabricio Oliveira;190149;PSB;SC;Sim
Vicente Arruda;74308;PROS;CE;Não
Carlos Eduardo Cadoca;74474;PCdoB;PE;Não
José Fogaça;131966;PMDB;RS;Não
Antonio Carlos Mendes Thame;73584;PSDB;SP;Sim
Fernando Torres;160676;PSD;BA;Não
Davidson Magalhães;101309;PCdoB;BA;Não
Augusto Coutinho;160665;Solidaried;PE;Sim
Ademir Camilo;133374;PROS;MG;Não
Silas Brasileiro;74765;PMDB;MG;Não
Walney Rocha;160631;PTB;RJ;Não
Marquinho Mendes;181315;PMDB;RJ;Não
Mauro Pereira;124411;PMDB;RS;Não
João Fernando Coutinho;178917;PSB;PE;Não
Rodrigo Pacheco;178897;PMDB;MG;Não
Célio Silveira;178876;PSDB;GO;Sim
João Paulo Papa;178988;PSDB;SP;Não
Antônio Jácome;178950;PMN;RN;Não
Eduardo Barbosa;74655;PSDB;MG;Sim
Jorge Tadeu Mudalen;73535;DEM;SP;Sim
Alex Manente;178972;PPS;SP;Sim
Paulo Magalhães;74574;PSD;BA;Não
Marcelo Squassoni;118594;PRB;SP;Não
Carlos Marun;178900;PMDB;MS;Não
Marcelo Aro;146788;PHS;MG;Não
José Guimarães;141470;PT ;CE;Não
Domingos Sávio;160758;PSDB;MG;Sim
Felipe Bornier;141430;PSD;RJ;Não
Roberto Balestra;73674;PP ;GO;Não
Sérgio Reis;178991;PRB;SP;Não
Edmilson Rodrigues;134812;PSOL;PA;Não
Macedo;178867;PSL;CE;Não
Juscelino Filho;178886;PRP;MA;Sim
Baleia Rossi;178975;PMDB;SP;Não
Roberto Britto;141529;PP ;BA;Não
Antonio Brito;160553;PTB;BA;Não
Luiz Fernando Faria;141487;PP ;MG;Não
Gabriel Guimarães;129037;PT ;MG;Não
João Arruda;160573;PMDB;PR;Não
Bebeto;178834;PSB;BA;Não
Mauro Lopes;74749;PMDB;MG;Não
Paulo Abi-Ackel;141516;PSDB;MG;Sim
Maurício Quintella Lessa;74050;PR ;AL;Não
Afonso Motta;178835;PDT;RS;Não
Ezequiel Teixeira;178941;Solidaried;RJ;Sim
Jorge Côrte Real;160572;PTB;PE;Não
Carlos Henrique Gaguim;178993;PMDB;TO;Não
Dr. Sinval Malheiros;178830;PV ;SP;Não
Mariana Carvalho;178956;PSDB;RO;Sim
Zeca Cavalcanti;178923;PTB;PE;Não
Adilton Sachetti;178903;PSB;MT;Não
Conceição Sampaio;178848;PP ;AM;Não
Carmen Zanotto;164360;PPS;SC;Sim
Josué Bengtson;74351;PTB;PA;Não
Pedro Fernandes;74449;PTB;MA;Não
Paulo Teixeira;141488;PT ;SP;Não
Rodrigo Martins;178926;PSB;PI;Sim
Beto Salame;178906;PROS;PA;Não
Heuler Cruvinel;160596;PSD;GO;Não
Carlos Manato;74163;Solidaried;ES;Sim
Vitor Valim;178869;PMDB;CE;Sim
Silvio Costa;4930;PSC;PE;Não
Mandetta;160633;DEM;MS;Sim
Zé Carlos;178889;PT ;MA;Não
Alfredo Kaefer;141454;PSDB;PR;Sim
Hiran Gonçalves;178959;PMN;RR;Não
Afonso Hamm;136811;PP ;RS;Não
Valtenir Pereira;141552;PROS;MT;Não
Evandro Gussi;178828;PV ;SP;Sim
André Abdon;178831;PRB;AP;Não
Dilceu Sperafico;73768;PP ;PR;Não
Domingos Neto;143632;PROS;CE;Não
Chico Alencar;74171;PSOL;RJ;Não
Bohn Gass;160538;PT ;RS;Não
Hildo Rocha;178884;PMDB;MA;Não
Marinha Raupp;74177;PMDB;RO;Não
Rosangela Gomes;178945;PRB;RJ;Não
Moema Gramacho;178859;PT ;BA;Não
Bruna Furlan;160589;PSDB;SP;Sim
Elmar Nascimento;178854;DEM;BA;Sim
Moses Rodrigues;178997;PPS;CE;Sim
Ivan Valente;73531;PSOL;SP;Não
Paulo Pimenta;74400;PT ;RS;Não
Jorginho Mello;160509;PR ;SC;Não
Diego Garcia;178929;PHS;PR;Não
Damião Feliciano;74467;PDT;PB;Não
Nilson Leitão;166401;PSDB;MT;Sim
Leandre;178832;PV ;PR;Não
Eros Biondini;160640;PTB;MG;Não
Claudio Cajado;74537;DEM;BA;Sim
Wadih Damous;189593;PT ;RJ;Não
Celso Jacob;73568;PMDB;RJ;Não
Flávia Morais;160598;PDT;GO;Não
Ana Perugini;178973;PT ;SP;Não
João Carlos Bacelar;141458;PR ;BA;Não
Padre João;160556;PT ;MG;Não
Missionário José Olimpio;160561;PP ;SP;Sim
Roberto de Lucena;160653;PV ;SP;Não
Leônidas Cristino;74299;PROS;CE;Não
Pedro Vilela;178844;PSDB;AL;Sim
Arthur Oliveira Maia;160600;Solidaried;BA;Sim
José Rocha;74554;PR ;BA;Não
Celso Russomanno;73441;PRB;SP;Não
Carlos Bezerra;141401;PMDB;MT;Não
Toninho Pinheiro;160611;PP ;MG;Não
Marcon;160535;PT ;RS;Não
Sibá Machado;160613;PT ;AC;Não
Bilac Pinto;141513;PR ;MG;Não
Cícero Almeida;178841;PRTB;AL;Não
José Otávio Germano;74395;PP ;RS;Não
Andre Moura;160543;PSC;SE;Não
Lobbe Neto;74277;PSDB;SP;Não
Assis do Couto;74378;PT ;PR;Não
Pastor Eurico;160642;PSB;PE;Não
Professor Victório Galli;148134;PSC;MT;Sim
Iracema Portella;67138;PP ;PI;Não
Paulo Azi;178860;DEM;BA;Sim
Waldir Maranhão;141558;PP ;MA;Não
Simone Morgado;178911;PMDB;PA;Não
Wellington Roberto;74043;PR ;PB;Não
Glauber Braga;152605;PSOL;RJ;Não
Mara Gabrilli;160565;PSDB;SP;Sim
Dagoberto;141411;PDT;MS;Não
Givaldo Carimbão;74558;PROS;AL;Não
Silas Câmara;74356;PSD;AM;Não
Leonardo Monteiro;74156;PT ;MG;Não
Jéssica Sales;178839;PMDB;AC;Não
Marcelo Álvaro Antônio;179000;PRP;MG;Não
Major Olimpio;178826;PDT;SP;Não
Valdir Colatto;74010;PMDB;SC;Não
Luciano Ducci;178931;PSB;PR;Não
Valadares Filho;141384;PSB;SE;Não
Luiz Nishimori;162332;PR ;PR;Não
João Derly;178965;REDE;RS;Não
Celso Maldaner;141405;PMDB;SC;Não
Fábio Sousa;178877;PSDB;GO;Sim
Jutahy Junior;74570;PSDB;BA;Sim
Valmir Assunção;160610;PT ;BA;Não
Walter Alves;178952;PMDB;RN;Não
Nilson Pinto;74352;PSDB;PA;Sim
Anderson Ferreira;160551;PR ;PE;Não
Zeca do Pt;178902;PT ;MS;Não
Tadeu Alencar;178922;PSB;PE;Não
Alex Canziani;73458;PTB;PR;Não
Nelson Marchezan Junior;160567;PSDB;RS;Sim
Lucio Vieira Lima;94931;PMDB;BA;Sim
Marcos Rotta;178850;PMDB;AM;Não
Junior Marreca;178885;PEN;MA;Não
Augusto Carvalho;73655;Solidaried;DF;Sim
Capitão Augusto;178829;PR ;SP;Não
Luiz Cláudio;178955;PR ;RO;Não
Alexandre Valle;178936;PRP;RJ;Não
Ronaldo Martins;122466;PRB;CE;Não
Vitor Lippi;178992;PSDB;SP;Não
Jefferson Campos;74273;PSD;SP;Não
Marco Tebaldi;160536;PSDB;SC;Sim
Margarida Salomão;171619;PT ;MG;Não
Félix Mendonça Júnior;160666;PDT;BA;Não
Irajá Abreu;81232;PSD;TO;Não
Marcos Abrão;178880;PPS;GO;Sim
Orlando Silva;178987;PCdoB;SP;Não
Uldurico Junior;178863;PTC;BA;Não
Eliziane Gama;178883;REDE;MA;Não
Renato Molling;141527;PP ;RS;Não
Beto Mansur;73437;PRB;SP;Não
Renzo Braz;160654;PP ;MG;Abstenção
Rodrigo de Castro;141531;PSDB;MG;Sim
Márcio Marinho;150418;PRB;BA;Não
Cleber Verde;141408;PRB;MA;Não
Carlos Andrade;178958;PHS;RR;Não
Paulo Foletto;160517;PSB;ES;Sim
Nilton Capixaba;74359;PTB;RO;Não
Fabio Garcia;178905;PSB;MT;Não
João Campos;74366;PSDB;GO;Sim
Rogério Marinho;141535;PSDB;RN;Sim
Rodrigo Maia;74693;DEM;RJ;Sim
Leonardo Quintão;141482;PMDB;MG;Não
Mário Heringer;74158;PDT;MG;Não
Lelo Coimbra;141562;PMDB;ES;Não
Alice Portugal;74057;PCdoB;BA;Não
Marcos Rogério;167722;PDT;RO;Não
Alberto Fraga;73579;DEM;DF;Sim
José Mentor;74275;PT ;SP;Não
Marinaldo Rosendo;178919;PSB;PE;Não
Samuel Moreira;178990;PSDB;SP;Sim
Jerônimo Goergen;160570;PP ;RS;Sim
Ricardo Izar;160655;PSD;SP;Não
Andres Sanchez;178974;PT ;SP;Não
Laudivio Carvalho;178894;PMDB;MG;Não
Rubens Otoni;74371;PT ;GO;Não
Wadson Ribeiro;137853;PCdoB;MG;Não
Fernando Monteiro;92699;PP ;PE;Não
Edinho Bez;73793;PMDB;SC;Não
Elizeu Dionizio;181316;Solidaried;MS;Sim
Fabio Reis;171623;PMDB;SE;Não
Sergio Vidigal;178874;PDT;ES;Não
Professora Dorinha Seabra Rezende;160639;DEM;TO;Sim
Miro Teixeira;74862;REDE;RJ;Não
Beto Rosado;178948;PP ;RN;Não
Edio Lopes;141417;PMDB;RR;Não
Lincoln Portela;74585;PR ;MG;Não
Rocha;178840;PSDB;AC;Sim
Alceu Moreira;160559;PMDB;RS;Não
Chico Lopes;141440;PCdoB;CE;Não
Pedro Chaves;74812;PMDB;GO;Não
Daniel Vilela;144523;PMDB;GO;Não
João Gualberto;178856;PSDB;BA;Sim
Júlio Cesar;74317;PSD;PI;Não
Luiz Lauro Filho;178982;PSB;SP;Não
Rogério Peninha Mendonça;160651;PMDB;SC;Sim
César Messias;178838;PSB;AC;Não
Júlia Marinho;67312;PSC;PA;Sim
Antonio Imbassahy;160530;PSDB;BA;Sim
Heitor Schuch;178964;PSB;RS;Não
Silvio Torres;73560;PSDB;SP;Sim
Dâmina Pereira;178892;PMN;MG;Não
Givaldo Vieira;178872;PT ;ES;Não
Francisco Floriano;160677;PR ;RJ;Não
Pepe Vargas;141445;PT ;RS;Não
Veneziano Vital do Rêgo;178913;PMDB;PB;Não
Carlos Sampaio;74262;PSDB;SP;Sim
Giacobo;74383;PR ;PR;Não
Beto Faro;141335;PT ;PA;Não
Erika Kokay;160575;PT ;DF;Não
Carlos Melles;74651;DEM;MG;Sim
Marcio Alvino;178983;PR ;SP;Não
Jair Bolsonaro;74847;PP ;RJ;Não
Sergio Souza;178933;PMDB;PR;Não
Ronaldo Nogueira;163321;PTB;RS;Não
Jô Moraes;141503;PCdoB;MG;Não
Jean Wyllys;160672;PSOL;RJ;Não
Danrlei de Deus Hinterholz;160552;PSD;RS;Não
Lucas Vergilio;178879;Solidaried;GO;Sim
Hissa Abrahão;178849;PPS;AM;Sim
Lucio Mosquini;178954;PMDB;RO;Não
Keiko Ota;160659;PSB;SP;Não
Tereza Cristina;178901;PSB;MS;Sim
Lindomar Garçon;141483;PMDB;RO;Não
Magda Mofatto;166402;PR ;GO;Não
Subtenente Gonzaga;177282;PDT;MG;Não
Luis Tibé;160510;PTdoB;MG;Não
Bruno Covas;178976;PSDB;SP;Sim
Paes Landim;74319;PTB;PI;Abstenção
Benito Gama;74535;PTB;BA;Não
Flaviano Melo;141434;PMDB;AC;Não
Marcus Pestana;159238;PSDB;MG;Sim
Arnaldo Jordy;160602;PPS;PA;Sim
Ezequiel Fonseca;178904;PP ;MT;Não
Stefano Aguiar;92776;PSB;MG;Não
Alexandre Serfiotis;178833;PSD;RJ;Não
Daniel Coelho;178916;PSDB;PE;Sim
Nilto Tatto;178986;PT ;SP;Não
Eli Corrêa Filho;160532;DEM;SP;Sim
João Daniel;178970;PT ;SE;Não
Wilson Filho;160636;PTB;PB;Não
Ronaldo Benedet;160515;PMDB;SC;Não
Cabo Daciolo;178938;S.Part.   ;RJ;Não
Kaio Maniçoba;178918;PHS;PE;Não
Tenente Lúcio;178898;PSB;MG;Não
Arlindo Chinaglia;73433;PT ;SP;Não
Mendonça Filho;74428;DEM;PE;Sim
Maria Helena;64960;PSB;RR;Não
Giovani Cherini;160673;PDT;RS;Não
Tia Eron;178862;PRB;BA;Não
André Fufuca;178882;PEN;MA;Não
Benjamin Maranhão;74040;Solidaried;PB;Sim
Luis Carlos Heinze;73483;PP ;RS;Sim
Alfredo Nascimento;178846;PR ;AM;Não
Renata Abreu;178989;PTN;SP;Não
Cabo Sabino;178865;PR ;CE;Não
Rafael Motta;178951;PROS;RN;Não
Rômulo Gouveia;141536;PSD;PB;Não
Raul Jungmann;74048;PPS;PE;Sim
