"nome";"id_deputado";"partido";"UF";"votacao_PL_1"
 Miguel Lombardi;178985;PR ;SP;Sim
 Osmar Terra;73692;PMDB ;RS;Sim
 Mário Negromonte Jr.;178858;PP ;BA;Sim
 Giuseppe Vecci;178878;PSDB ;GO;Sim
 Ságuas Moraes;160630;PT ;MT;Sim
 Carlos Zarattini;141398;PT ;SP;Sim
 Marcus Vicente;74235;PP ;ES;Sim
 Sóstenes Cavalcante;178947;DEM;RJ;Sim
 Aluisio Mendes;178881;PTN;MA;Sim
 Ronaldo Carletto;178861;PP ;BA;Sim
 Lúcio Vale;141484;PR ;PA;Sim
 Aguinaldo Ribeiro;160527;PP ;PB;Sim
 Fábio Mitidieri;178969;PSD;SE;Sim
 José Nunes;160619;PSD;BA;Sim
 Cabuçu Borges;105112;PMDB ;AP;Sim
 Rubens Bueno;73466;PPS;PR;Sim
 Gonzaga Patriota;74419;PSB;PE;Sim
 Saraiva Felipe;74762;PMDB ;MG;Sim
 José Carlos Aleluia;74553;DEM;BA;Sim
 Marcelo Belinati;178932;PP ;PR;Sim
 Altineu Côrtes;178937;PMDB ;RJ;Sim
 Sandes Júnior;74372;PP ;GO;Sim
 Silas Freire;187008;PR ;PI;Sim
 Roberto Freire;73805;PPS;SP;Sim
 Mainha;151965;PP ;PI;Sim
 Carlos Eduardo Cadoca;74474;PCdoB;PE;Sim
 Antonio Carlos Mendes Thame;73584;PV ;SP;Sim
 Fernando Torres;160676;PSD;BA;Sim
 Davidson Magalhães;101309;PCdoB;BA;Sim
 Ademir Camilo;133374;PTN;MG;Sim
 Silas Brasileiro;74765;PMDB ;MG;Sim
 Mauro Pereira;124411;PMDB ;RS;Sim
 João Fernando Coutinho;178917;PSB;PE;Sim
 Célio Silveira;178876;PSDB ;GO;Sim
 João Paulo Papa;178988;PSDB ;SP;Sim
 Antônio Jácome;178950;PTN;RN;Sim
 Eduardo Barbosa;74655;PSDB ;MG;Sim
 Jorge Tadeu Mudalen;73535;DEM;SP;Sim
 Alex Manente;178972;PPS;SP;Sim
 Paulo Magalhães;74574;PSD;BA;Sim
 Ricardo Teobaldo;178920;PTN;PE;Sim
 Marcelo Squassoni;118594;PRB;SP;Sim
 Carlos Marun;178900;PMDB ;MS;Sim
 Marcelo Aro;146788;PHS;MG;Sim
 José Guimarães;141470;PT ;CE;Sim
 Luiz Carlos Busato;141485;PTB;RS;Sim
 Domingos Sávio;160758;PSDB ;MG;Sim
 Roberto Balestra;73674;PP ;GO;Sim
 Sérgio Reis;178991;PRB;SP;Sim
 Edmilson Rodrigues;134812;PSOL ;PA;Sim
 Macedo;178867;PP ;CE;Sim
 Juscelino Filho;178886;DEM;MA;Sim
 Baleia Rossi;178975;PMDB ;SP;Sim
 Roberto Britto;141529;PP ;BA;Sim
 Antonio Brito;160553;PSD;BA;Sim
 Luiz Fernando Faria;141487;PP ;MG;Sim
 Gabriel Guimarães;129037;PT ;MG;Sim
 Bebeto;178834;PSB;BA;Sim
 Paulo Abi-Ackel;141516;PSDB ;MG;Sim
 Pedro Uczai;160604;PT ;SC;Sim
 Maurício Quintella Lessa;74050;PR ;AL;Sim
 Afonso Motta;178835;PDT;RS;Sim
 Ezequiel Teixeira;178941;PTN;RJ;Sim
 Jorge Côrte Real;160572;PTB;PE;Sim
 Carlos Henrique Gaguim;178993;PTN;TO;Sim
 Dr. Sinval Malheiros;178830;PTN;SP;Sim
 Mariana Carvalho;178956;PSDB ;RO;Sim
 Antonio Bulhões;141383;PRB;SP;Sim
 Zeca Cavalcanti;178923;PTB;PE;Sim
 Adilton Sachetti;178903;PSB;MT;Sim
 Conceição Sampaio;178848;PP ;AM;Sim
 Carmen Zanotto;164360;PPS;SC;Sim
 Vinicius Carvalho;141555;PRB;SP;Sim
 Josué Bengtson;74351;PTB;PA;Sim
 Pedro Fernandes;74449;PTB;MA;Sim
 Marco Maia;133373;PT ;RS;Sim
 Paulo Teixeira;141488;PT ;SP;Sim
 Rodrigo Martins;178926;PSB;PI;Sim
 Beto Salame;178906;PP ;PA;Sim
 Heuler Cruvinel;160596;PSD;GO;Sim
 Carlos Manato;74163;Solidaried;ES;Sim
 Vitor Valim;178869;PMDB ;CE;Sim
 Silvio Costa;4930;PTdoB;PE;Sim
 Fernando Jordão;163831;PMDB ;RJ;Sim
 Mandetta;160633;DEM;MS;Sim
 Zé Carlos;178889;PT ;MA;Sim
 Alfredo Kaefer;141454;PSL;PR;Sim
