id_dep;deputado;IMPEACHMENT;nome
178905;Fabio Garcia;SIM;FabioGarcia
171623;Fabio Reis;SIM;FabioReis
66828;Fausto Pinato;SIM;FaustoPinato
141430;Felipe Bornier;SIM;FelipeBornier
141429;Felipe Maia;SIM;FelipeMaia
141431;Fernando Coelho Filho;SIM;FernandoCoelhoFilho
160646;Fernando Francischini;SIM;FernandoFrancischini
160676;Fernando Torres;NAO;FernandoTorres
141434;Flaviano Melo;SIM;FlavianoMelo
178978;Flavinho;SIM;Flavinho
178907;Francisco Chapadinha;SIM;FranciscoChapadinha
160677;Francisco Floriano;SIM;FranciscoFloriano
160669;Genecias Noronha;SIM;GeneciasNoronha
74374;Geraldo Resende;SIM;GeraldoResende
74383;Giacobo;SIM;Giacobo
74270;Gilberto Nascimento;SIM;GilbertoNascimento
160673;Giovani Cherini;SIM;GiovaniCherini
178878;Giuseppe Vecci;SIM;GiuseppeVecci
178872;Givaldo Vieira;NAO;GivaldoVieira
152605;Glauber Braga;NAO;GlauberBraga
152605;Glauber Braga;NAO;GlauberBraga
74419;Gonzaga Patriota;SIM;GonzagaPatriota
129618;Gorete Pereira;ABST;GoretePereira
178980;Goulart;SIM;Goulart
160667;Guilherme Mussi;SIM;GuilhermeMussi
178964;Heitor Schuch;SIM;HeitorSchuch
73482;Henrique Fontana;NAO;HenriqueFontana
178981;Herculano Passos;SIM;HerculanoPassos
73772;Hermes Parcianello;SIM;HermesParcianello
160596;Heuler Cruvinel;SIM;HeulerCruvinel
178884;Hildo Rocha;SIM;HildoRocha
141450;Hugo Leal;SIM;HugoLeal
160674;Hugo Motta;SIM;HugoMotta
141389;Indio da Costa;SIM;IndiodaCosta
67138;Iracema Portella;SIM;IracemaPortella
73531;Ivan Valente;NAO;IvanValente
4931;Izalci;SIM;Izalci
74665;Jaime Martins;SIM;JaimeMartins
74847;Jair Bolsonaro;SIM;JairBolsonaro
74848;Jandira Feghali;NAO;JandiraFeghali
73926;Janete Capiberibe;NAO;JaneteCapiberibe
131943;Jarbas Vasconcelos;SIM;JarbasVasconcelos
160672;Jean Wyllys;NAO;JeanWyllys
74273;Jefferson Campos;SIM;JeffersonCampos
178842;JHC;SIM;JHC
178842;JHC;SIM;JHC
160531;Jhonatan de Jesus;SIM;JhonatandeJesus
178910;Joaquim Passarinho;SIM;JoaquimPassarinho
178971;Jony Marcos;SIM;JonyMarcos
74388;Jorge Boeira;SIM;JorgeBoeira
178857;Jorge Solla;NAO;JorgeSolla
73535;Jorge Tadeu Mudalen;SIM;JorgeTadeuMudalen
160509;Jorginho Mello;SIM;JorginhoMello
114941;Josi Nunes;SIM;JosiNunes
73666;Jovair Arantes;SIM;JovairArantes
74253;Julio Lopes;SIM;JulioLopes
178885;Junior Marreca;NAO;JuniorMarreca
178886;Juscelino Filho;SIM;JuscelinoFilho
74570;Jutahy Junior;SIM;JutahyJunior
160659;Keiko Ota;SIM;KeikoOta
151208;Laercio Oliveira;SIM;LaercioOliveira
141478;Laerte Bessa;SIM;LaerteBessa
178894;Laudivio Carvalho;SIM;LaudivioCarvalho
178832;Leandre;SIM;Leandre
141562;Lelo Coimbra;SIM;LeloCoimbra
178825;Leo de Brito;NAO;LeodeBrito
74156;Leonardo Monteiro;NAO;LeonardoMonteiro
74254;Leonardo Picciani;NAO;LeonardoPicciani
160663;Leopoldo Meyer;SIM;LeopoldoMeyer
74585;Lincoln Portela;SIM;LincolnPortela
178879;Lucas Vergilio;SIM;LucasVergilio
160628;Luciana Santos;NAO;LucianaSantos
178931;Luciano Ducci;SIM;LucianoDucci
178954;Lucio Mosquini;SIM;LucioMosquini
94931;Lucio Vieira Lima;SIM;LucioVieiraLima
73483;Luis Carlos Heinze;SIM;LuisCarlosHeinze
74784;Luiza Erundina;NAO;LuizaErundina
141485;Luiz Carlos Busato;SIM;LuizCarlosBusato
73778;Luiz Carlos Hauly;SIM;LuizCarlosHauly
178802;Luiz Carlos Ramos;SIM;LuizCarlosRamos
74041;Luiz Couto;NAO;LuizCouto
141487;Luiz Fernando Faria;SIM;LuizFernandoFaria
178866;Luizianne Lins;NAO;LuizianneLins
178982;Luiz Lauro Filho;SIM;LuizLauroFilho
162332;Luiz Nishimori;SIM;LuizNishimori
178867;Macedo;NAO;Macedo
166402;Magda Mofatto;SIM;MagdaMofatto
178826;Major Olimpio;SIM;MajorOlimpio
160633;Mandetta;SIM;Mandetta
141490;Manoel Junior;SIM;ManoelJunior
160565;Mara Gabrilli;SIM;MaraGabrilli
146788;Marcelo Aro;SIM;MarceloAro
