nome;id_dep
JoséFogaça;131966
JoséGuimarães;141470
JoséMaiaFilho;151965
JoséMentor;74275
JoséNunes;160619
JoséOtávioGermano;74395
JoséPriante;74079
JoséReinaldo;73714
JoséRocha;74554
JoseStédile;160607
JosiNunes;114941
JosuéBengtson;74351
JovairArantes;73666
JoziAraújo;178851
JoziRocha;178851
JúliaMarinho;67312
JúlioCesar;74317
JúlioDelgado;73586
JulioLopes;74253
JuniorMarreca;178885
JuscelinoFilho;178886
JutahyJunior;74570
KaioManiçoba;178918
KeikoOta;160659
LaercioOliveira;151208
LaerteBessa;141478
LaudivioCarvalho;178894
LázaroBotelho;141480
Leandre;178832
LeloCoimbra;141562
LeodeBrito;178825
LeonardoMonteiro;74156
LeonardoPicciani;74254
LeonardoQuintão;141482
LeônidasCristino;74299
LeopoldoMeyer;160663
LincolnPortela;74585
LindomarGarçon;141483
LobbeNeto;74277
LucasVergilio;178879
LucianaSantos;160628
LucianoDucci;178931
LucioMosquini;178954
LúcioVale;141484
LucioVieiraLima;94931
LuisCarlosHeinze;73483
LuisTibé;160510
LuizaErundina;74784
LuizCarlosBusato;141485
LuizCarlosHauly;73778
LuizCarlosRamos;178802
LuizCláudio;178955
LuizCouto;74041
LuizFernandoFaria;141487
LuizianneLins;178866
LuizLauroFilho;178982
LuizNishimori;162332
LuizSérgio;74688
Macedo;178867
MagdaMofatto;166402
Mainha;151965
MajorOlimpio;178826
Mandetta;160633
ManoelJunior;141490
MaraGabrilli;160565
MarceloAguiar;160660
MarceloÁlvaroAntônio;179000
MarceloAro;146788
MarceloBelinati;178932
MarceloCastro;74460
MarceloMatos;76287
MarceloSquassoni;118594
MarcioAlvino;178983
MárcioMarinho;150418
MarcoMaia;133373
Marcon;160535
MarcosAbrão;178880
MarcosMontes;141500
MarcosReategui;178852
MarcosRogério;167722
MarcosRotta;178850
MarcosSoares;178943
MarcoTebaldi;160536
MarcusPestana;159238
MarcusVicente;74235
MargaridaSalomão;171619
MariadoRosário;74398
MariaHelena;64960
MarianaCarvalho;178956
MarinaldoRosendo;178919
MarinhaRaupp;74177
MárioHeringer;74158
MárioNegromonteJr.;178858
MarquinhoMendes;181315
MarxBeltrão;178843
MaurícioQuintellaLessa;74050
MauroLopes;74749
MauroMariani;141507
MauroPereira;124411
MaxFilho;178827
MendonçaFilho;74428
MerlongSolano;188097
MiguelHaddad;178984
MiguelLombardi;178985
MiltonMonti;74787
MiroTeixeira;74862
MiroTeixeira;74862
MisaelVarella;178895
MissionárioJoséOlimpio;160561
MoemaGramacho;178859
MoroniTorgan;74457
MosesRodrigues;178997
não;NA
NelsonMarchezanJunior;160567
NelsonMarquezelli;73553
NelsonMeurer;73781
NewtonCardosoJr;178896
NilsonLeitão;166401
NilsonPinto;74352
NiltonCapixaba;74359
NiltoTatto;178986
OdelmoLeão;74752
OdoricoMonteiro;178868
OnyxLorenzoni;74399
OrlandoSilva;178987
OsmarBertoldi;180545
OsmarSerraglio;73463
OsmarTerra;73692
OtavioLeite;141515
PadreJoão;160556
PaesLandim;74319
PastorEurico;160642
PastorFranklin;186775
PauderneyAvelino;74095
Paulão;171617
PauloAbi-Ackel;141516
PauloAzi;178860
PauloFeijó;74017
PauloFoletto;160517
PauloFreire;160558
PauloMagalhães;74574
PauloMaluf;132056
PauloPereiradaSilva;141518
PauloPimenta;74400
PauloTeixeira;141488
PedroChaves;74812
PedroCunhaLima;178912
PedroFernandes;74449
PedroUczai;160604
PedroVilela;178844
Penna;80920
PepeVargas;141445
PompeodeMattos;73486
Pr.MarcoFeliciano;160601
ProfessoraDorinhaSeabraRezende;160639
ProfessoraMarcivania;160641
ProfessorVictórioGalli;148134
RafaelMotta;178951
RaimundoGomesdeMatos;74216
RaquelMuniz;178998
RaulJungmann;74048
ReginaldoLopes;74161
RemídioMonai;178960
RenataAbreu;178989
RenatoMolling;141527
RenzoBraz;160654
RicardoBarros;73788
RicardoIzar;160655
RicardoTeobaldo;178920
RicardoTripoli;141472
RobertoAlves;152610
RobertoBalestra;73674
RobertoBritto;141529
RobertoFreire;73805
RobertoGóes;178995
RobertoSales;178944
Rocha;178840
RodrigodeCastro;141531
RodrigoMaia;74693
RodrigoMartins;178926
RodrigoPacheco;178897
RogérioMarinho;141535
RogérioPeninhaMendonça;160651
RogérioRosso;160426
RômuloGouveia;141536
RonaldoBenedet;160515
RonaldoCarletto;178861
RonaldoFonseca;160637
RonaldoLessa;178845
RonaldoMartins;122466
RonaldoNogueira;163321
RoneyNemer;178870
RosângelaCurado;191684
RosangelaGomes;178945
Rossoni;178935
RubensBueno;73466
RubensOtoni;74371
RubensPereiraJúnior;178887
SáguasMoraes;160630
SamuelMoreira;178990
SandesJúnior;74372
SandroAlex;160621
SaraivaFelipe;74762
SarneyFilho;74210
SérgioBrito;73808
SérgioMoraes;141542
SérgioReis;178991
SergioSouza;178933
SergioVidigal;178874
SergioZveiter;160612
Shéridan;178961
SibáMachado;160613
SilasBrasileiro;74765
SilasCâmara;74356
SilasFreire;187008
SilvioCosta;4930
SilvioTorres;73560
sim;NA
sim;NA
SimãoSessim;73424
SimoneMorgado;178911
SorayaSantos;178946
SóstenesCavalcante;178947
StefanoAguiar;92776
SubtenenteGonzaga;177282
TadeuAlencar;178922
Takayama;74385
TenenteLúcio;178898
TerezaCristina;178901
ThiagoPeixoto;160617
TiaEron;178862
Tiririca;160976
ToninhoPinheiro;160611
ToninhoWandscheer;178934
UlduricoJunior;178863
ValadaresFilho;141384
ValdirColatto;74010
ValmirAssunção;160610
ValmirPrascidelli;113247
ValtenirPereira;141552
VanderleiMacris;141553
VanderLoubet;74376
VenezianoVitaldoRêgo;178913
VicenteArruda;74308
VicenteCandido;160622
Vicentinho;74283
VicentinhoJúnior;137070
VictorMendes;178888
ViniciusCarvalho;141555
ViniciusGurgel;160591
VitorLippi;178992
VitorValim;178869
WadihDamous;189593
WadsonRibeiro;137853
WaldenorPereira;160569
WaldirMaranhão;141558
