id_dep;nome;deputado;partido;UF;tema_1;tema_2;tema_3;tema_4;tema_5;tema_6;tema_7;tema_8;tema_9;tema_10;tema_11;tema_12;tema_13;tema_14;tema_15;tema_16;tema_17;tema_18;tema_19;IMPEACHMENT
NA;nao;NA;não votou;não votou;;;;;;;;;;não votou;não votou;6 não votou;7 não votou;não votou;não votou;;;;;NA
180545;OsmarBertoldi;NA;dem;PR;não votou;não votou;não votou;não votou;não votou;6 não votou;7 não votou;não votou;sim;não votou;sim;não votou;não votou;não;não;não votou;não votou;não votou;não votou;NA
186775;PastorFranklin;NA;ptdob;MG;sim;sim;sim;sim;sim;sim;sim;não;sim;não;sim;sim;não;sim;não;sim;não;não votou;não;NA
141516;PauloAbiAckel;NA;psdb;MG;sim;sim;sim;não votou;sim;sim;sim;sim;sim;sim;sim;sim;não;não;não;sim;não;sim;não;NA
80920;Penna;NA;pv;SP;não votou;não votou;sim;não;sim;não;sim;não;não votou;não;não votou;sim;sim;não votou;não votou;sim;sim;sim;não;NA
160601;PrMarcoFeliciano;NA;psc;SP;sim;não votou;não;sim;sim;sim;sim;não;não;sim;sim;sim;sim;não votou;não votou;não;sim;sim;sim;NA
160639;ProfessoraDorinhaSeabraRezende;NA;dem;TO;sim;não votou;sim;sim;não;não;sim;não;não;não;sim;sim;sim;não;não;sim;sim;im;sim;NA
74048;RaulJungmann;NA;pps;PE;não votou;não votou;sim;sim;não;não;não;não votou;sim;não votou;não;não;não votou;não;não;não;não;não votou;não;NA
73805;RobertoFreire;NA;pps;SP;não votou;sim;sim;sim;não;não;não;não;sim;não;sim;sim;sim;não votou;não;não;não;abstenção;não;NA
160651;RogerioPeninhaMendonca;NA;pmdb;SC;sim;não;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;não;sim;sim;NA
191684;RosangelaCurado;NA;pdt;MA;;;;;;;;;;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;NA
178935;Rossoni;NA;psdb;PR;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;não;sim;não;sim;sim;NA
74372;SandesJunior;NA;pp;GO;não votou;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;sim;NA
74765;SilasBrasileiro;NA;pmdb;MG;sim;sim;sim;sim;não votou;sim;não votou;não votou;sim;não votou;sim;não votou;não;não votou;não votou;sim;sim;sim;sim;NA
